Procesos,Delta,Tiempo,Triangulos
2,32,0.0719201,24584
2,16,0.260552,98240
2,8,1.99375,392964
2,4,14.7876,1571924
2,2,113.211,6287708
2,1,887.39,25150848
4,32,0.0424568,24584
4,16,0.264295,98240
4,8,1.14156,392964
4,4,7.81022,1571924
4,2,58.4309,6287708
4,1,453.73,25150848
8,32,0.0925316,24584
8,16,0.158463,98240
8,8,0.995393,392964
8,4,5.73909,1571924
8,2,52.3985,6287708
8,1,303.264,25150848
16,32,0.147775,24584
16,16,0.112883,98240
16,8,0.761617,392964
16,4,3.93826,1571924
16,2,28.127,6287708
16,1,231.644,25150848
32,32,0.762312,24584
32,16,0.799925,98240
32,8,1.13421,392964
32,4,5.47643,1571924
32,2,31.797,6287708
32,1,263.629,25150848
