Procesos,Delta,Tiempo,Triangulos,FLOPs,GFLOPS
2,32,0.0719201,24584,242993056.0,3.378652921784035
2,16,0.260552,98240,1718338304.0,6.594991802020326
2,8,1.99375,392964,12846051280.0,6.44316051661442
2,4,14.7876,1571924,99165872144.0,6.706015319862588
2,2,113.211,6287708,778915605424.0,6.880211334799622
2,1,887.39,25150848,6173679173120.0,6.957120514227116
4,32,0.0424568,24584,242993056.0,5.723301237964236
4,16,0.264295,98240,1718338304.0,6.501592175410053
4,8,1.14156,392964,12846051280.0,11.253067101159816
4,4,7.81022,1571924,99165872144.0,12.696937108557762
4,2,58.4309,6287708,778915605424.0,13.33054266533632
4,1,453.73,25150848,6173679173120.0,13.60650424948758
8,32,0.0925316,24584,242993056.0,2.62605483964397
8,16,0.158463,98240,1718338304.0,10.843782485501348
8,8,0.995393,392964,12846051280.0,12.905506950521051
8,4,5.73909,1571924,99165872144.0,17.27902370306094
8,2,52.3985,6287708,778915605424.0,14.865227161540885
8,1,303.264,25150848,6173679173120.0,20.357441612324575
16,32,0.147775,24584,242993056.0,1.6443448215192016
16,16,0.112883,98240,1718338304.0,15.222294800811461
16,8,0.761617,392964,12846051280.0,16.866812689317598
16,4,3.93826,1571924,99165872144.0,25.180123238181327
16,2,28.127,6287708,778915605424.0,27.692807815408685
16,1,231.644,25150848,6173679173120.0,26.651582484847438
32,32,0.762312,24584,242993056.0,0.3187580098437385
32,16,0.799925,98240,1718338304.0,2.1481242666499987
32,8,1.13421,392964,12846051280.0,11.32599014291886
32,4,5.47643,1571924,99165872144.0,18.107758547813084
32,2,31.797,6287708,778915605424.0,24.496512420165423
32,1,263.629,25150848,6173679173120.0,23.41805785069169
