Procesos,Delta,Tiempo,Triangulos
2,32,0.0761254,24584
4,32,0.0477999,24584
8,32,0.0361239,24584
16,32,0.0668533,24584
32,32,0.695725,24584
2,16,0.469037,98240
4,16,0.280519,98240
8,16,0.157251,98240
16,16,0.155948,98240
32,16,0.757093,98240
2,8,3.57961,392964
4,8,1.90156,392964
8,8,1.01256,392964
16,8,0.68408,392964
32,8,1.35995,392964
2,4,27.3884,1571924
4,4,14.1077,1571924
8,4,7.41258,1571924
16,4,4.21777,1571924
32,4,10.6647,1571924
2,2,211.785,6287708
4,2,108.914,6287708
8,2,55.7863,6287708
16,2,31.6282,6287708
32,2,44.2207,6287708
2,1,1193.01,25150848
4,1,538.297,25150848
8,1,300.456,25150848
16,1,232.277,25150848
32,1,256.493,25150848
