Procesos,Delta,Tiempo,Triangulos,FLOPs,GFLOPS
2,32,0.0761254,24584,242993056.0,3.192010235742604
4,32,0.0477999,24584,242993056.0,5.083547371438016
8,32,0.0361239,24584,242993056.0,6.7266562026802195
16,32,0.0668533,24584,242993056.0,3.634720440127862
32,32,0.695725,24584,242993056.0,0.34926595422041756
2,16,0.469037,98240,1718338304.0,3.663545315188354
4,16,0.280519,98240,1718338304.0,6.125568335834649
8,16,0.157251,98240,1718338304.0,10.927360105818087
16,16,0.155948,98240,1718338304.0,11.018662015543642
32,16,0.757093,98240,1718338304.0,2.269652874877987
2,8,3.57961,392964,12846051280.0,3.588673425317283
4,8,1.90156,392964,12846051280.0,6.755532972927491
8,8,1.01256,392964,12846051280.0,12.686706249506203
16,8,0.68408,392964,12846051280.0,18.77858039995322
32,8,1.35995,392964,12846051280.0,9.445973219603662
2,4,27.3884,1571924,99165872144.0,3.620725275810197
4,4,14.1077,1571924,99165872144.0,7.029201935396983
8,4,7.41258,1571924,99165872144.0,13.378050846533865
16,4,4.21777,1571924,99165872144.0,23.51144613006399
32,4,10.6647,1571924,99165872144.0,9.298514927189702
2,2,211.785,6287708,778915605424.0,3.6778601195740963
4,2,108.914,6287708,778915605424.0,7.151657320675028
8,2,55.7863,6287708,778915605424.0,13.96248909542307
16,2,31.6282,6287708,778915605424.0,24.62725053667297
32,2,44.2207,6287708,778915605424.0,17.614275789935483
2,1,1193.01,25150848,6173679173120.0,5.174876298706633
4,1,538.297,25150848,6173679173120.0,11.468908749482162
8,1,300.456,25150848,6173679173120.0,20.547698075991157
16,1,232.277,25150848,6173679173120.0,26.578951739173487
32,1,256.493,25150848,6173679173120.0,24.069581521211106
