Procesos,Delta,Tiempo,Triangulos
2,32,0.0409953,24584
4,32,0.0301868,24584
8,32,0.0347975,24584
16,32,0.0328102,24584
32,32,0.553702,24584
2,16,0.283279,98240
4,16,0.143145,98240
8,16,0.145309,98240
16,16,0.10511,98240
32,16,0.474152,98240
2,8,1.51336,392964
4,8,0.920689,392964
8,8,0.569103,392964
16,8,0.561569,392964
32,8,0.878153,392964
2,4,11.3995,1571924
4,4,6.49804,1571924
8,4,3.85693,1571924
16,4,3.6416,1571924
32,4,2.63216,1571924
2,2,87.7014,6287708
4,2,47.4024,6287708
8,2,26.0704,6287708
16,2,23.8562,6287708
32,2,14.6134,6287708
2,1,700.1,25150848
4,1,385.99,25150848
